psa,offense_group,offense_text,shift,method,district,ward,year,month,day_of_week,latitude,longitude
505.0,property,THEFT/OTHER,evening,others,5.0,5.0,2023,5.0,Thursday,38.9215811022,-76.9937613603
404.0,violent,ROBBERY,day,gun,4.0,4.0,2023,9.0,Friday,38.9418699776,-77.0278211785
302.0,violent,ROBBERY,midnight,others,3.0,1.0,2023,10.0,Thursday,38.9314544036,-77.0427415238
507.0,violent,ROBBERY,midnight,gun,5.0,7.0,2023,6.0,Saturday,38.8966514254,-76.9703739346
706.0,violent,SEX ABUSE,evening,others,7.0,8.0,2023,6.0,Saturday,38.8323614987,-76.9878147258
106.0,property,THEFT F/AUTO,midnight,others,1.0,6.0,2023,2.0,Friday,38.8806923287,-76.9984556402
203.0,property,THEFT/OTHER,evening,others,2.0,3.0,2023,2.0,Tuesday,38.936186926,-77.0588812982
702.0,property,MOTOR VEHICLE THEFT,evening,others,7.0,8.0,2023,1.0,Wednesday,38.8517442612,-76.9692405323
507.0,property,BURGLARY,day,others,5.0,5.0,2023,1.0,Thursday,38.902499813,-76.9795252118
501.0,property,THEFT/OTHER,day,others,5.0,6.0,2023,11.0,Sunday,38.905645494,-77.0025594614
602.0,property,THEFT/OTHER,day,others,6.0,7.0,2023,9.0,Saturday,38.8987906035,-76.932711419
706.0,property,THEFT F/AUTO,midnight,others,7.0,8.0,2023,9.0,Monday,38.8369449248,-76.981136952
506.0,property,THEFT/OTHER,day,others,5.0,5.0,2023,9.0,Tuesday,38.9147571652,-76.9839276423
207.0,property,THEFT/OTHER,day,others,2.0,2.0,2023,9.0,Wednesday,38.9004549325,-77.044180238
305.0,property,THEFT/OTHER,evening,others,3.0,1.0,2023,9.0,Thursday,38.9186485641,-77.0319518232
106.0,property,THEFT F/AUTO,midnight,others,1.0,6.0,2023,9.0,Saturday,38.882282086,-77.0035149126
507.0,property,THEFT/OTHER,evening,others,5.0,7.0,2023,10.0,Sunday,38.8947748077,-76.9776908917
106.0,property,MOTOR VEHICLE THEFT,midnight,others,1.0,8.0,2023,10.0,Monday,38.8788424668,-77.0005812813
606.0,property,THEFT/OTHER,evening,others,6.0,7.0,2023,6.0,Friday,38.8603103295,-76.9658379147
305.0,property,MOTOR VEHICLE THEFT,midnight,others,3.0,1.0,2023,6.0,Saturday,38.9148223507,-77.0249867861
501.0,property,MOTOR VEHICLE THEFT,evening,others,5.0,6.0,2023,6.0,Saturday,38.8764761962,-77.0070875014
106.0,violent,ROBBERY,midnight,gun,1.0,6.0,2023,6.0,Saturday,38.8784040836,-77.0053820367
407.0,violent,HOMICIDE,midnight,gun,4.0,4.0,2023,5.0,Wednesday,38.9482699349,-77.0261636459
405.0,property,MOTOR VEHICLE THEFT,midnight,others,4.0,5.0,2023,6.0,Sunday,38.9518581174,-76.9970004893
705.0,property,THEFT/OTHER,evening,others,7.0,8.0,2023,6.0,Thursday,38.8413339898,-76.9885043176
201.0,property,BURGLARY,day,others,2.0,4.0,2023,6.0,Saturday,38.9664551576,-77.0580178071
501.0,property,THEFT/OTHER,evening,others,5.0,6.0,2023,9.0,Sunday,38.905636274,-77.0074823884
604.0,property,THEFT/OTHER,day,others,6.0,7.0,2023,2.0,Sunday,38.8837938962,-76.9245766325
604.0,property,BURGLARY,evening,others,6.0,7.0,2023,2.0,Monday,38.8752494862,-76.9319957227
505.0,property,THEFT/OTHER,evening,others,5.0,5.0,2023,2.0,Tuesday,38.9201485438,-76.9903135821
